server,rdbms,os,comment,version,releasedate,eol,age,eol_since,instance,databases,appliance
sks0288,MySQL,Windows Server,MySQL Workbench 6.2 CE / Server,05.07.1937,21.10.2015,31.10.2023,8,0,1,1,0
cks1682,MySQL,Windows Server,MySQL Workbench 6.3 CE,5.5,03.12.2010,31.12.2018,12,4,1,1,0
sks1088,MySQL,Windows Server,MySQL Workbench 6.3 CE / Server,05.06.2026,05.02.2013,28.02.2021,10,2,1,1,0
ssi0127,MySQL,Windows Server,MySQL Workbench 6.3 CE / Fabric / Server,05.07.2011,21.10.2015,31.10.2023,8,0,1,1,0
cks1056,MySQL,Windows Server,MySQL Workbench 8.0 CE,8.0.17,19.04.2018,30.04.2026,5,0,1,1,0
cks1251,MySQL,Windows Server,MySQL Workbench 8.0 CE,8.0.17,19.04.2018,30.04.2026,5,0,1,1,0
cks3735,MySQL,Windows Server,MySQL Workbench 8.0 CE,8,19.04.2018,30.04.2026,5,0,1,1,0
sks0100,MySQL,Windows Server,MySQL Workbench 8.0 CE,8.0.31,19.04.2018,30.04.2026,5,0,1,1,0
sks0995,MySQL,Windows Server,MySQL Workbench 8.0 CE / Server,8.0.29 ,19.04.2018,30.04.2026,5,0,1,1,0
sks1312,MySQL,Windows Server,Server,8.0.32,19.04.2018,30.04.2026,5,0,1,1,0
cks3125,PostgreSQL,Windows Server,,8.3,04.02.2008,07.02.2013,15,10,1,1,0
mks0529,PostgreSQL,Windows Server,,8.3,04.02.2008,07.02.2013,15,10,1,1,0
sks0363,PostgreSQL,Windows Server,,11.0-1,18.10.2018,09.11.2023,5,0,1,1,0
sks0745,PostgreSQL,Windows Server,,9.6,29.09.2016,11.11.2021,7,1,1,1,0
ssi0068,PostgreSQL,Windows Server,,9.2,10.09.2012,09.11.2017,11,5,1,1,0
mks0006,PostgreSQL,Windows Server,,10,05.10.2017,10.11.2022,6,0,1,1,0
sks0025,PostgreSQL,Windows Server,,11,18.10.2018,09.11.2023,5,0,1,1,0
sks0256,PostgreSQL,Windows Server,,11,18.10.2018,09.11.2023,5,0,1,1,0
sks0964,MongoDB,Windows Server,,04.02.2003,01.08.2019,30.04.2023,4,0,1,1,0
ssi0095,MySQL,Linux,,5.6.33-0,05.02.2013,28.02.2021,10,2,1,23,0
sks0193,PostgreSQL,Windows Server,,09.05.2004,07.01.2016,11.02.2021,7,2,1,1,0
ssi0136 / ssi0137,Oracle Database,HP-UX,,11.2,01.09.2009,31.12.2018,14,4,1,1,0
ssi0136 / ssi0137,Oracle Database,HP-UX,,12.2,01.03.2017,31.03.2022,6,1,5,5,0
ssi0136 / ssi0137,Oracle Database,HP-UX,,19.18,01.04.2019,30.04.2027,4,0,1,1,0
ssi0136 / ssi0137,Oracle Database,HP-UX,,19.12,01.04.2019,30.04.2027,4,0,4,4,0
ssi0136 / ssi0137,Oracle Database,HP-UX,,19.1,01.04.2019,30.04.2027,4,0,2,4,0
ssi0136 / ssi0137,Oracle Database,HP-UX,,19.11,01.04.2019,30.04.2027,4,0,1,1,0
